EmpID,Position,SHIFT,1,2,3,4,5,6,7,8,total_productivity,productivity_rate_in_a_year
10026,Production Technician I,AR,50,55.5,53,51,54,65,24,58.5,411,1.126027397
10084,Sr. DBA,AR,22,61.5,34,65,52.5,88,95,69.5,487.5,1.335616438
10196,Production Technician II,AR,77,63,64,68,96,94.5,25,51.5,539,1.476712329
10088,Production Technician I,AR,68,60.5,59,33,89,73,29,75,486.5,1.332876712
10069,Production Technician I,AR,75,75,97.5,83,58,77,55,58,578.5,1.584931507
10002,Production Technician I,AR,62,62,26,51,91,73,63,27,455,1.246575342
10194,Software Engineer,AR,62,25,97,96.5,45,41,93,75,534.5,1.464383562
10062,Production Technician I,AR,93,45,61.5,31,59,90.5,96,78.5,554.5,1.519178082
10114,Production Technician I,AR,94,72,67.5,76.5,99,32,80,59,580,1.589041096
10250,IT Support,AR,68,61.5,74.5,28,67,70,80,80.5,529.5,1.450684932
10252,Production Technician I,AR,20,53,83,75.5,48,25,92,21,417.5,1.143835616
10242,Production Technician I,LA,0,0,83,54,61,37,20,78,333,0.912328767
10012,Data Analyst,AR,55,56,92.5,73,49,97,74,65,561.5,1.538356164
10265,Production Technician I,AR,70,90,72,59,66,30,92.5,65,544.5,1.491780822
10066,Production Technician I,AR,98,84.5,80,72.5,94,25,53.5,40,547.5,1.5
10061,Production Technician I,AR,88,56.5,72,75.5,34,99,83,60,568,1.556164384
10023,Production Technician II,LA,0,0,70,78.5,77.5,71,69,21,387,1.060273973
10055,Production Technician I,AR,61,35,53.5,100,75,69.5,90,99.5,583.5,1.598630137
10245,Database Administrator,AR,91,95,42,54,38,64,85,97,566,1.550684932
10277,Production Technician I,AR,99,79,53.5,51,80,94,68,60,584.5,1.601369863
10046,Production Technician I,AR,88,63,75,40,100,82.5,89,72,609.5,1.669863014
10226,Production Technician I,AR,61,71,96,57,78,94,39,61.5,557.5,1.52739726
10003,Production Technician I,AR,85,23,46,81,76,71.5,92.5,71,546,1.495890411
10294,Production Technician II,AR,76,93,84.5,63,85,71.5,55,23,551,1.509589041
10267,Production Technician II,AR,96.5,68,56,51,94.5,84,97.5,56,603.5,1.653424658
10199,Enterprise Architect,AR,39,41,97,91,100,76,40,65.5,549.5,1.505479452
10081,Sr. Accountant,AR,33,94,45,74,55,84,58,64.5,507.5,1.390410959
10175,Production Manager,AR,73,98.5,86,94,77,60,80.5,65,634,1.736986301
10177,Production Technician I,AR,94.5,67,81,31,78,55,69,65.5,541,1.482191781
10238,Accountant I,AR,94,57,40,91,81,82,94.5,93,632.5,1.732876712
10184,Production Technician II,AR,46,57.5,97,52.5,80,37,71.5,84,525.5,1.439726027
10203,Production Technician I,AR,76,49,67,86.5,20,92.5,80,22,493,1.350684932
10188,Area Sales Manager,AR,72,85,51,57,62.5,72.5,54,83,537,1.471232877
10107,Production Technician II,LA,0,0,46,68,74,92,65,73,418,1.145205479
10181,Production Technician II,AR,79,60,86,54,76,32,89,91,567,1.553424658
10150,Software Engineering Manager,AR,33,97,56.5,69,62.5,31,89.5,85.5,524,1.435616438
10001,Production Manager,AR,83,51,31,79.5,55.5,75,25,33,433,1.18630137
10085,Software Engineer,AR,90,89,84,30,40,90.5,70,70,563.5,1.543835616
10115,Production Technician I,AR,99,40,75,53.5,26,43,96,91,523.5,1.434246575
10082,Sr. DBA,AR,37,65,37,68,61,60.5,55,64.5,448,1.22739726
10040,Area Sales Manager,LA,0,0,63.5,36,66,80.5,56,77,379,1.038356164
10067,Production Technician I,AR,0,0,116,116,69,65,70.5,74.5,511,1.4
10108,BI Director,AR,0,0,0,0,81.5,136,191,159.5,568,1.556164384
10210,Production Technician I,AR,81.5,70,84,53,50.5,75,88,0,502,1.375342466
10154,Production Technician I,AR,43,75.5,75.5,91.5,85.5,39,52.5,64,526.5,1.442465753
10200,Area Sales Manager,AR,69,62.5,72.5,80,23,55.5,75,83,520.5,1.426027397
10240,Production Technician I,AR,84,78,74,62.5,67,65,54.5,43,528,1.446575342
10168,Production Technician I,AR,91,27,38,100,76,43,100,62.5,537.5,1.47260274
10220,IT Support,AR,53.5,57,78.5,59.5,73,53,77.5,86,538,1.473972603
10275,Production Technician II,AR,61,36,58,53.5,59.5,84,91,89,532,1.457534247
10269,Production Technician II,AR,75,54.5,77.5,80,77,36,71.5,77,548.5,1.502739726
10029,Production Technician I,AR,60,76,36,57.5,28,51,29,96,433.5,1.187671233
10261,Production Technician I,AR,80,91,71.5,92,53,57,90,73.5,608,1.665753425
10292,Production Technician I,AR,53,72,74.5,37,47,99.5,84.5,25,492.5,1.349315068
10282,Production Manager,AR,89,62,50,97,83,90,99,26,596,1.632876712
10019,Director of Operations,AR,72.5,34,78.5,56.5,90.5,62,22,20,436,1.194520548
10094,Production Technician I,AR,84.5,67,57,66,25,76,94.5,60,530,1.452054795
10193,Data Analyst,AR,93,37,98,54.5,44,23,46,79,474.5,1.3
10132,Production Technician I,AR,31,68,89,63,76,54,88,24,493,1.350684932
10083,Sr. Network Engineer,AR,76.5,74.5,73.5,36,86,58,96,83.5,584,1.6
10099,Sales Manager,AR,100,90,98.5,75,39,48,66,55.5,572,1.567123288
10212,Sr. Network Engineer,AR,57.5,99,70,98.5,62,94.5,80.5,95.5,657.5,1.801369863
10056,Production Technician I,AR,51.5,25,29,98.5,29,58,94,35,420,1.150684932
10143,Production Technician II,AR,72,51,99,76,20,72.5,60.5,61,512,1.402739726
10311,Production Technician I,AR,68.5,87,93.5,88,45,30,60,76,548,1.501369863
10070,Production Technician I,AR,85,98,88,68,66,94,54,77,630,1.726027397
10155,Software Engineer,AR,97.5,89,87,67,95.5,97,82,53.5,668.5,1.831506849
10306,Area Sales Manager,AR,57,73,88,89.5,93,61.5,97.5,64,623.5,1.708219178
10100,Production Technician II,AR,64,52,75.5,90,83,79,91,36,570.5,1.563013699
10310,Production Technician I,AR,25,54,94.5,32,73,79,66,85.5,509,1.394520548
10197,BI Developer,AR,98.5,96,93.5,93,52.5,54.5,92,79,659,1.805479452
10276,Production Technician I,AR,76,71.5,62.5,90,62.5,33,61.5,49,506,1.38630137
10304,Area Sales Manager,AR,61,59.5,96,56.5,51,84,32,78.5,518.5,1.420547945
10284,Production Technician I,AR,95,32,96.5,100,57,75,84,77,616.5,1.689041096
10207,Production Technician I,LA,0,0,52,77,75,55,53,56.5,368.5,1.009589041
10133,IT Support,LA,0,0,70.5,90,64.5,73.5,65.5,75,439,1.202739726
10028,IT Manager - Support,AR,0,0,95,59.5,42,96,85,97,474.5,1.3
10006,Area Sales Manager,AR,0,0,0,0,94,125,159.5,103,481.5,1.319178082
10105,Production Manager,AR,51,56,53.5,58,99.5,65.5,84,81,548.5,1.502739726
10211,Production Technician I,AR,60.5,84,68.5,86.5,57,99.5,86,79.5,621.5,1.702739726
10064,Production Technician I,AR,84.5,70,79,71.5,29,66,94.5,24,518.5,1.420547945
10247,Production Technician I,AR,91,63,53,90.5,96,58,78,86.5,616,1.687671233
10235,Production Technician I,AR,98,71,93,71,98,90.5,73,85,679.5,1.861643836
10299,Production Technician II,AR,92.5,76.5,68,89,93.5,89.5,74,85,668,1.830136986
10280,Production Technician I,AR,74,71.5,87,46,85.5,96,99,38,597,1.635616438
10296,Production Technician I,AR,36,88.5,99.5,75.5,57,32,72,86.5,547,1.498630137
